Airport code,,District,Country
NFB,Detroit NAF,Not found,Not found
NFG,Nefteyugansk,California,United States
NFL,NAS,Nevada,United States
NFR,Nafoora,Not found,Not found
NGA,Young,New South Wales,Australia
NGB,Ningbo,Zhejiang Province,China
NGC,North Rim,Not found,Not found
NGD,Anegada,British Virgin Islands,Not found
NGE,Ngaoundere,Adamaoua Region,Cameroon
NGI,Ngau Island,Eastern,Fiji
NGL,Ngala Airfield,Limpopo,South Africa
NGM,Agana Nas,Not found,Not found
NGN,Nargana,Not found,Not found
NGO,Central Japan International,Aichi Prefecture,Japan
NGP,NAS,Texas,United States
NGR,Ningerum,Not found,Not found
NGS,Nagasaki,Nagasaki Prefecture,Japan
NGU,Nas Chambers,Virginia,United States
NGV,Ngiva,Not found,Not found
NGW,Cabaniss Field,Texas,United States
NGX,Manang,Gandaki,Nepal
NGZ,NAS,California,United States
NHA,Nha Trang,Khanh Hoa Province,Vietnam
NHD,Military Airport,Dubai Emirate,United Arab Emirates
NHF,New Halfa,Kassala State,Sudan
NHK,NAS,Maryland,United States
NHS,Nushki,Balochistan,Pakistan
NHT,Northolt,England,United Kingdom
NHV,Nuku Hiva,French Polynesia,Not found
NHX,Barin Olf Osn,Alabama,United States
NHZ,NAS,Maine,United States
NIA,Nimba,Nimba County,Liberia
NIB,Nikolai,Not found,Not found
NIC,Nicosia,Nicosia District,Cyprus
NIE,Niblack,Not found,Not found
NIF,Nifty,Western Australia,Australia
NIG,Nikunau,Gilbert Islands,Kiribati
NIK,Niokolo Koba,Buenos Aires Province,Argentina
NIM,Niamey,Niamey Capital District,Niger
NIN,Ninilchik,Buenos Aires Province,Argentina
NIO,Nioki,Bandundu Province,Congo (Kinshasa)
NIP,Jacksonville NAS,Florida,United States
NIR,Chase Field NAS,Not found,Not found
NIS,Simberi,Bougainville (North Solomons),Papua New Guinea
NIT,Niort,Poitou-Charentes,France
NIX,Nioro,Kayes Region,Mali
NJA,NAS,TÅçkyÅç Prefecture,Japan
NJC,Nizhnevartovsk,Khanty-Mansi Autonomous Okrug,Russia
NJK,NAF,California,United States
NKA,Nkan,Not found,Not found
NKB,Noonkanbah,Western Australia,Australia
NKC,Nouakchott,Nouakchott Region,Mauritania
NKD,Sinak,Papua,Indonesia
NKG,Nanking/nanjing,Jiangsu Province,China
NKI,Naukiti,Alaska,United States
NKL,Nkolo,Florida,United States
NKM,Komaki AFB,Aichi Prefecture,Japan
NKN,Nankina,Madang,Papua New Guinea
NKO,Ankokoambo,Not found,Not found
NKS,Nkongsamba,Littoral Region,Cameroon
NKU,Nkaus,Mohale's Hoek,Lesotho
NKV,Nichen Cove,Not found,Not found
NKX,Miramar MCAS,California,United States
NKY,Nkayi,Bouenza Department,Congo (Brazzaville)
NLA,Ndola,Copperbelt Province,Zambia
NLC,NAS/Reeves Field,California,United States
NLD,Intl Quetzalcoatl,Tamaulipas,Mexico
NLE,Jerry Tyler Memorial,Michigan,United States
NLF,Darnley Island,Queensland,Australia
NLG,Nelson Lagoon,Alaska,United States
NLK,Norfolk Island,Norfolk Island,Not found
NLL,Nullagine,Western Australia,Australia
NLP,Nelspruit International,Mpumalanga,South Africa
NLS,Nicholson,Western Australia,Australia
NLU,Santa Lucia,Mexico,Mexico
NLV,Nikolaev,Mykolaiv,Ukraine
NMA,Namangan,Namangan,Uzbekistan
NMB,Daman,Daman and Diu,India
NME,Nightmute,Alaska,United States
NMG,San Miguel,PanamÃ¡ Province,Panama
NMN,Nomane,Chimbu,Papua New Guinea
NMP,New Moon,Queensland,Australia
NMR,Nappa Merry,Queensland,Australia
NMS,Namsang,Shan State,Burma
NMT,Namtu,Shan State,Burma
NMU,Namu,Not found,Not found
NNA,NAF,KÃ©nitra Province,Morocco
NNB,Santa Ana,Makira,Solomon Islands
NND,Nangade,Cabo Delgado Province,Mozambique
NNG,Nanning,Guangxi Autonomous Region,China
NNI,Namutoni,Oshikoto Region,Namibia
NNK,Naknek,Alaska,United States
NNL,Nondalton,Alaska,United States
NNM,Naryan-Mar,Nenets Autonomous Okrug,Russia
NNR,Connemara,County Galway,Ireland
NNT,Nan,Nan Province,Thailand
NNU,Nanuque,Minas Gerais,Brazil
NNX,Nunukan,North Kalimantan,Indonesia
NNY,Nanyang,Henan Province,China
NOA,Nowra,New South Wales,Australia
NOB,Nosara Beach,Guanacaste,Costa Rica
NOC,Ireland West Airport Knock,County Mayo,Ireland
NOD,Norden,Lower Saxony,Germany
NOE,Norddeich,Not found,Not found
NOG,Nogales,Sonora,Mexico
NOH,Chicago NAS,Not found,Not found
NOI,Novorossijsk,Not found,Not found
NOJ,Nojabrxsk,Yamalo-Nenets Autonomous Okrug,Russia
NOK,Nova Xavantina,Mato Grosso,Brazil
NOL,Nakolik River,Not found,Not found
NOM,Nomad River,Western (Fly River),Papua New Guinea
NON,Nonouti,Gilbert Islands,Kiribati
NOO,Naoro,Central,Papua New Guinea
NOR,Nordfjordur,Eastern Region,Iceland
NOS,Fascene,Antsiranana,Madagascar
NOT,Novato,California,United States
NOU,Tontouta,New Caledonia,Not found
NOV,Huambo,Huambo Province,Angola
NOZ,Novokuznetsk,Kemerovo Oblast,Russia
NPA,Pensacola NAS,Florida,United States
NPE,Hawkes Bay,Hawke's Bay Region,New Zealand
NPG,Nipa,Southern Highlands,Papua New Guinea
NPH,Nephi,Utah,United States
NPL,New Plymouth,Taranaki Region,New Zealand
NPO,Nangapinoh,Kalimantan Barat,Indonesia
NPP,Napperby,Northern Territory,Australia
NPT,State,Rhode Island,United States
NPU,San Pedro Uraba,AntioquÃ_a Department,Colombia
NQA,NAS,Tennessee,United States
NQI,NAS,Texas,United States
NQL,Niquelandia,GoiÃ¡s,Brazil
NQN,Neuquen,NeuquÃ©n Province,Argentina
NQT,Nottingham Airport,England,United Kingdom
NQU,Nuqui,ChocÃ_ Department,Colombia
NQX,NAS,Florida,United States
NQY,St Mawgan,England,United Kingdom
NRA,Narrandera,Washington,United States
NRB,Ns,Florida,United States
NRC,Aux Field,California,United States
NRD,Norderney,Lower Saxony,Germany
NRE,Namrole,Maluku,Indonesia
NRG,Narrogin,Western Australia,Australia
NRI,Shangri-la,Oklahoma,United States
NRK,Kungsangen,Ã–stergÃ¶tlands lÃ_n,Sweden
NRL,North Ronaldsay,Scotland,United Kingdom
NRM,Nara,Koulikoro Region,Mali
NRN,Weeze,North Rhine-Westphalia,Germany
NRR,Roosevelt NAS,Puerto Rico,Not found
NRS,NAS,California,United States
NRT,Narita,Chiba Prefecture,Japan
NRV,Uscg Shore St,Not found,Not found
NRY,Newry,Northern Territory,Australia
NSA,Noosa,Not found,Not found
NSB,North SPB,Bimini,Bahamas
NSE,Whiting Field NAS,Florida,United States
NSF,Andrews NAF,Not found,Not found
NSH,Now Shahr,Mazandaran Province,Iran
NSI,Nsimalen,Centre Region,Cameroon
NSM,Norseman,Western Australia,Australia
NSN,Nelson,Nelson Region,New Zealand
NSO,Scone,New South Wales,Australia
NSP,NAF,Not found,Not found
NST,Nakhon Si Thammarat,Nakhon Si Thammarat Province,Thailand
NSV,Noosaville,Queensland,Australia
NSX,Hovercraft/Launch Pt,Not found,Not found
NSY,Sigonella NAF,Sicily,Italy
NTA,Natadola,Milne Bay,Papua New Guinea
NTB,Notodden,Telemark,Norway
NTC,Santa Carolina,Inhambane Province,Mozambique
NTD,Point Mugu NAS,California,United States
NTE,Nantes Atlantique,Pays-de-la-Loire,France
NTG,Nantong,Jiangsu Province,China
NTI,Bintuni,West Papua,Indonesia
NTJ,Manti-Ephraim,Utah,United States
NTL,Williamtown,New South Wales,Australia
NTM,Miracema Do Norte,Not found,Not found
NTN,Normanton,Queensland,Australia
NTO,Santo Antao,Barlavento Islands,Cape Verde
NTQ,Noto Airport,Ishikawa Prefecture,Japan
NTR,Aeropuerto Del Norte,Nuevo Leon,Mexico
NTT,Kuini Lavenia,Niuas,Tonga
NTU,NAS,Virginia,United States
NTX,Natuna Ranai,Riau,Indonesia
NTY,Pilanesberg,North-West,South Africa
NUB,Numbulwar,Northern Territory,Australia
NUD,En Nahud,North Kurdufan State,Sudan
NUE,Nuremberg,Bavaria,Germany
NUF,Castlereigh Reservoir,Central Province,Sri Lanka
NUG,Nuguria,Greenland,Not found
NUH,Nunchia,Casanare Department,Colombia
NUI,Nuiqsut,Alaska,United States
NUJ,Nojeh,Not found,Not found
NUK,Nukutavake,French Polynesia,Not found
NUL,Nulato,Alaska,United States
NUN,Saufley NAS,Florida,United States
NUP,Nunapitchuk,Alaska,United States
NUQ,Moffett Field,California,United States
NUR,Nullarbor,South Australia,Australia
NUS,Norsup,Malampa,Vanuatu
NUT,Nutuve,Casanare Department,Colombia
NUU,Nakuru,Rift Valley Province,Kenya
NUW,Ault Field,Washington,United States
NUX,Novy Urengoy,Yamalo-Nenets Autonomous Okrug,Russia
NVA,La Marguita,Huila Department,Colombia
NVD,Nevada,Missouri,United States
NVG,Nueva Guinea,Atlantico Sur,Nicaragua
NVI,Navoi,Florida,United States
NVK,Framnes,Nordland,Norway
NVP,Novo Aripuana,Amazonas,Brazil
NVR,Novgorod,Buenos Aires Province,Argentina
NVS,Nevers,Burgundy,France
NVT,Navegantes,Santa Catarina,Brazil
NVY,Neyveli,Tamil Nadu,India
NWA,Moheli,Moheli Moili,Comoros
NWH,Parlin Field,Not found,Not found
NWI,Norwich Arpt,England,United Kingdom
NWP,NS,Not found,Not found
NWS,Pier 11/Wall St. SPB,Not found,Not found
NWT,Nowata,Milne Bay,Papua New Guinea
NWU,NAS,Not found,Not found
NXX,Willow Grove NAS,Pennsylvania,United States
NYE,Nyeri,Central Province,Kenya
NYG,Quantanico Nas,Virginia,United States
NYI,Sunyani,Brong-Ahafo Region,Ghana
NYK,Nanyuki,Central Province,Kenya
NYM,Nadym,Yamalo-Nenets Autonomous Okrug,Russia
NYN,Nyngan,New South Wales,Australia
NYO,Skavsta,SÃ¶dermanlands lÃ_n,Sweden
NYU,Nyaung-u,Mandalay Division,Burma
NZA,Nzagi,Lunda Norte Province,Angola
NZC,Cecil Field NAS,Ica Region,PerÃº
NZE,Nzerekore,NzÃ©rÃ©korÃ© Region,Guinea
NZH,Manzhouli,Not found,Not found
NZO,Nzoia,Not found,Not found
NZW,South Weymouth,Massachusetts,United States
NZY,North Island Nas,California,United States
OAG,Springhill,New South Wales,Australia
OAJ,Albert J Ellis,North Carolina,United States
OAK,Metropolitan Oak Intl,California,United States
OAL,Cacoal,RondÃ´nia,Brazil
OAM,Oamaru,Otago Region,New Zealand
OAN,Olanchito,Yoro,Honduras
OAR,Ohara International,California,United States
OAX,Xoxocotlan,Oaxaca,Mexico
OBA,Oban,Valle del Cauca Department,Colombia
OBC,Obock,Obock,Djibouti
OBD,Obano,Papua,Indonesia
OBE,County,Misiones Province,Argentina
OBF,Oberpfaffenhofen,Bavaria,Germany
OBI,Obidos,ParÃ¡,Brazil
OBK,Sky Harbor,Illinois,United States
OBL,Zoersel,Antwerp,Belgium
OBM,Morobe,Morobe,Papua New Guinea
OBN,Oban Airport,Scotland,United Kingdom
OBO,Obihiro,HokkaidÅç Prefecture,Japan
OBS,Vals-Lanas,RhÃ´ne Alpes,France
OBT,Oakland/Coliseum Stat,Not found,Not found
OBU,Kobuk/Wien,Alaska,United States
OBX,Obo,Western (Fly River),Papua New Guinea
OBY,Ittoqqortoormiit,Greenland,Not found
OCA,Ocean Reef,Florida,United States
OCC,Coca,Orellana Province,Ecuador
OCE,Municipal,Maryland,United States
OCF,Taylor Field,Florida,United States
OCH,Nacogdoches,Texas,United States
OCI,Oceanic,Not found,Not found
OCJ,Boscobel,Saint Mary,Jamaica
OCN,Municipal,California,United States
OCV,Aguasclaras,Norte de Santander Department,Colombia
OCW,Warren Field,North Carolina,United States
ODA,Ouadda,Haute-Kotto,Central African Republic
ODB,Cordoba,AndalucÃ_a,Spain
ODD,Oodnadatta,South Australia,Australia
ODE,Beldringe,South Denmark,Denmark
ODH,RAF Station,England,United Kingdom
ODJ,Ouanda Djalle,Vakaga,Central African Republic
ODL,Cordillo Downs,South Australia,Australia
ODN,Long Seridan,Sarawak,Malaysia
ODR,Ord River,Western Australia,Australia
ODS,Central,Odessa,Ukraine
ODW,Oak Harbor,Washington,United States
ODY,Oudomxay,Oudomxai Province,Laos
OEA,Oneal,Indiana,United States
OEC,Ocussi,Oecussi,Timor-Leste
OEL,Orel,RÃ_o Negro Province,Argentina
OEM,Vincent Fayks,Sipaliwini,Suriname
OEO,Municipal,Wisconsin,United States
OER,Ornskoldsvik,VÃ_sternorrlands lÃ_n,Sweden
OES,San Antonio Oeste,RÃ_o Negro Province,Argentina
OFI,Ouango Fitini,Zanzan,CÃ´te d'Ivoire
OFJ,Olafsfjordur,Northeastern Region,Iceland
OFK,Stefan Field,Nebraska,United States
OFU,Ofu,American Samoa,Not found
OGA,Searle Field,Nebraska,United States
OGB,Municipal,South Carolina,United States
OGD,Municipal,Utah,United States
OGE,Ogeranang,Morobe,Papua New Guinea
OGG,Kahului,Hawaii,United States
OGL,Ogle,Demerara-Mahaica,Guyana
OGN,Yonaguni Jima,Okinawa Prefecture,Japan
OGO,Abengourou,Moyen-ComoÃ©,CÃ´te d'Ivoire
OGR,Bongor,Mayo-Kebbi,Chad
OGS,Ogdensburg,New York,United States
OGV,Ongava Game Reserve,Not found,Not found
OGX,Ain Beida,Ouargla Province,Algeria
OGZ,Vladikavkaz,Republic of North Ossetia-Alania,Russia
OHA,Royal Air Force Base,Manawatu-Wanganui Region,New Zealand
OHC,AFS,Not found,Not found
OHD,Ohrid,Southwestern Statistical Region,Macedonia
OHI,Oshakati,Oshana Region,Namibia
OHO,Okhotsk,Khabarovsk Krai,Russia
OHP,Heliport,Not found,Not found
OHR,Wyk Auf Foehr,Schleswig-Holstein,Germany
OHT,Kohat,North-West Frontier,Pakistan
OIA,Ourilandia,ParÃ¡,Brazil
OIC,Eaton,New York,United States
OIL,Splane Memorial,Pennsylvania,United States
OIM,Oshima,TÅçkyÅç Prefecture,Japan
OIR,Okushiri,HokkaidÅç Prefecture,Japan
OIT,Oita,ÅŒita Prefecture,Japan
OJC,Johnson Executive,Kansas,United States
OKA,Naha,Okinawa Prefecture,Japan
OKB,Fraser Island,California,United States
OKC,Will Rogers World,Oklahoma,United States
OKD,Okadama,HokkaidÅç Prefecture,Japan
OKE,Okino Erabu,Kagoshima Prefecture,Japan
OKF,Okaukuejo,Kunene Region,Namibia
OKG,Okoyo,Cuvette Department,Congo (Brazzaville)
OKH,Cottesmor RAF,England,United Kingdom
OKI,Oki Island,Shimane Prefecture,Japan
OKJ,Okayama,Okayama Prefecture,Japan
OKK,Kokomo,Indiana,United States
OKL,Oksibil,Papua,Indonesia
OKM,Okmulgee,Oklahoma,United States
OKN,Okondja,Haut-OgoouÃ© Province,Gabon
OKO,Yokota AFB,TÅçkyÅç Prefecture,Japan
OKP,Oksapmin,Sandaun (West Sepik),Papua New Guinea
OKQ,Okaba,Papua,Indonesia
OKR,Yorke Island,Queensland,Australia
OKS,Oshkosh,Nebraska,United States
OKT,Oktiabrskij,Republic of Tatarstan,Russia
OKU,Mokuti Lodge,Oshikoto Region,Namibia
OKV,Okao,Virginia,United States
OKY,Oakey,Queensland,Australia
OLA,Orland,SÃ¸r-TrÃ¸ndelag,Norway
OLB,Costa Smeralda,Sardinia,Italy
OLD,Old Town,Maine,United States
OLE,Municipal,New York,United States
OLF,International,Montana,United States
OLH,Old Harbor SPB,Not found,Not found
OLI,Rif,Western Region,Iceland
OLJ,Olpoi,Sanma,Vanuatu
OLK,Fuerte Olimpo,Alto Paraguay Department,Paraguay
OLM,Olympia,Washington,United States
OLN,Colonia Sarmiento,Chubut Province,Argentina
OLO,Olomouc,Olomouc Region,Czechia
OLP,Olympic Dam,South Australia,Australia
OLQ,Olsobip,Western (Fly River),Papua New Guinea
OLS,International,Arizona,United States
OLU,Columbus,Nebraska,United States
OLV,Olive Branch Arpt,Mississippi,United States
OLY,Olney-Noble,Illinois,United States
OMA,Eppley Airfield,Nebraska,United States
OMB,Omboue,OgoouÃ©-Maritime Province,Gabon
OMC,Ormoc,Leyte Province,Philippines
OMD,Oranjemund,ÇÅKaras Region,Namibia
OME,Nome,Alaska,United States
OMF,King Hussein,Al Mafraq Governorate,Jordan
OMG,Omega,Kavango East Region,Namibia
OMH,Urmieh,West Azarbaijan Province,Iran
OMI,Omidieh,Khuzestan Province,Iran
OMJ,Omura,Not found,Not found
OMK,Municipal,Washington,United States
OML,Omkalai,Chimbu,Papua New Guinea
OMM,Marmul,Dhofar Governorate,Oman
OMN,Osmanabad,Florida,United States
OMO,Mostar,Federacija Bosna i Hercegovina,Bosnia and Herzegovina
OMR,Oradea,Bihor,Romania
OMS,Omsk,Omsk Oblast,Russia
OMY,Oddor Meanche,Preah Vihear,Cambodia
ONA,Municipal,Minnesota,United States
ONB,Ononge,Central,Papua New Guinea
OND,Ondangwa,Oshana Region,Namibia
ONE,Onepusu,Not found,Not found
ONG,Mornington,Queensland,Australia
ONH,Municipal,Not found,Not found
ONI,Moanamani,Papua,Indonesia
ONJ,Odate Noshiro,Akita Prefecture,Japan
ONL,Municipal,Nebraska,United States
ONM,Socorro,New Mexico,United States
ONN,Onion Bay,Not found,Not found
ONO,Ontario,Oregon,United States
ONP,Newport,Oregon,United States
ONQ,Zonguldak,Zonguldak Province,Turkey
ONR,Monkira,Queensland,Australia
ONS,Onslow,Western Australia,Australia
ONT,International,California,United States
ONU,Ono I Lau,Eastern,Fiji
ONX,Colon,ColÃ_n Province,Panama
ONY,Olney,Texas,United States
OOA,Municipal,Iowa,United States
OOK,Toksook Bay,Alaska,United States
OOL,Gold Coast (Coolangatta),Queensland,Australia
OOM,Cooma,New South Wales,Australia
OOR,Mooraberree,Queensland,Australia
OOT,Onotoa,Gilbert Islands,Kiribati
OPA,Kopasker,Northeastern Region,Iceland
OPB,Open Bay,Not found,Not found
OPF,Opa Locka,Florida,United States
OPI,Oenpelli,Northern Territory,Australia
OPL,St Landry Parish,Louisiana,United States
OPO,Porto,Oporto District,Portugal
OPS,Sinop,Mato Grosso,Brazil
OPU,Balimo,Western (Fly River),Papua New Guinea
OPW,Opuwa,Kunene Region,Namibia
ORA,Oran,Salta Province,Argentina
ORB,Orebro-bofors,Ã–rebro lÃ_n,Sweden
ORC,Orocue,Iowa,United States
ORD,Ohare International,Illinois,United States
ORE,Orleans,Centre,France
ORF,International,Virginia,United States
ORG,Zorg En Hoop,Texas,United States
ORH,Worcester,Massachusetts,United States
ORI,Port Lions SPB,Alaska,United States
ORJ,Orinduik,Potaro-Siparuni,Guyana
ORK,Cork,County Cork,Ireland
ORL,Orlando Executive,Florida,United States
ORM,Northampton,England,United Kingdom
ORN,Es Senia,Oran Province,Algeria
ORO,Yoro,Casanare Department,Colombia
ORP,Orapa,Central District,Botswana
ORQ,Heliport,Not found,Not found
ORR,Yorketown,South Australia,Australia
ORS,Waterport,Washington,United States
ORT,Northway,Alaska,United States
ORU,Oruro,Oruro Department,Bolivia
ORV,Curtis Memorial,Alaska,United States
ORW,Ormara,Balochistan,Pakistan
ORX,Oriximina,ParÃ¡,Brazil
ORY,Orly,Ã_le-de-France,France
ORZ,Orange Walk,Orange Walk District,Belize
OSB,Osage Beach,Ninawa Governorate,Iraq
OSC,Wurtsmith AFB,Michigan,United States
OSD,Froesoe,JÃ_mtlande lÃ_n,Sweden
OSE,Omora,Morobe,Papua New Guinea
OSG,Ossima,Sandaun (West Sepik),Papua New Guinea
OSH,Wittman Field,Wisconsin,United States
OSI,Osijek,Osijek-Baranja County,Croatia
OSK,Oskarshamn,Kalmar lÃ_n,Sweden
OSL,"Oslo Airport, Gardermoen",Akershus,Norway
OSM,Mosul,Not found,Not found
OSN,Ab,Gyeonggido,South Korea
OSP,Redzikowo,Pomerania,Poland
OSR,Mosnov,Moravian-Silesian Region,Czechia
OSS,Osh,Osh Region,Kyrgyzstan
OST,Railway,West Flanders,Belgium
OSU,Ohio State University,Ohio,United States
OSW,Orsk,Orenburg Oblast,Russia
OSX,Attala County,Mississippi,United States
OSY,Namsos,Nord-TrÃ¸ndelag,Norway
OSZ,Koszalin,West Pomerania,Poland
OTA,Mota,Not found,Not found
OTC,Bol,Lac,Chad
OTD,Contadora,PanamÃ¡ Province,Panama
OTG,Worthington,Minnesota,United States
OTH,North Bend,Oregon,United States
OTI,Morotai Island,Maluku Utara,Indonesia
OTJ,Otjiwarongo,Omaheke Region,Namibia
OTL,Boutilimit,Trarza Region,Mauritania
OTM,Industrial,Iowa,United States
OTN,Green,Indiana,United States
OTO,Vor,Not found,Not found
OTP,Henri Coanda International,BucureÅŸti,Romania
OTR,Coto 47,Puntarenas,Costa Rica
OTS,Anacortes,Not found,Not found
OTU,Otu,AntioquÃ_a Department,Colombia
OTV,Ontong Java,Malaita,Solomon Islands
OTY,Oria,Not found,Not found
OTZ,Kotzebue,Alaska,United States
OUA,Ouagadougou,Kadiogo,Burkina Faso
OUD,Les Angades,Oujda Province,Morocco
OUE,Ouesso,Sangha Department,Congo (Brazzaville)
OUG,Ouahigouya,Yatenga,Burkina Faso
OUH,Oudtshoorn,Western Cape,South Africa
OUI,Ban Houei,Not found,Not found
OUK,Outer Skerries,Scotland,United Kingdom
OUL,Oulu,Oulu,Finland
OUM,Oum Hadjer,East Sepik,Papua New Guinea
OUN,Max Westheimer,Oklahoma,United States
OUR,Batouri,East Region,Cameroon
OUS,Ourinhos,SÃ£o Paulo,Brazil
OUT,Bousso,Chari-Baguirmi,Chad
OUU,Ouanga,Not found,Not found
OUZ,Zouerate,Tiris Zemmour Region,Mauritania
OVA,Bekily,Toliara,Madagascar
OVB,Tolmachevo,Novosibirsk Oblast,Russia
OVD,Asturias,Asturias,Spain
OVE,Oroville,California,United States
OVG,Overberg (FAOB),Western Cape,South Africa
OVL,Ovalle,Minnesota,United States
OVR,Olavarria,Buenos Aires Province,Argentina
OWA,Owatonna,Minnesota,United States
OWB,Daviess County,Kentucky,United States
OWD,Memorial,Massachusetts,United States
OWE,Owendo,Not found,Not found
OWK,Central Maine,Maine,United States
OXB,Osvaldo Vieira,Bissau Autonomous Sector,Guinea-Bissau
OXC,Waterbury-Oxford,Connecticut,United States
OXD,Miami University,Ohio,United States
OXF,Kidlington,England,United Kingdom
OXO,Orientos,Queensland,Australia
OXR,Ventura,California,United States
OXY,Morney,Queensland,Australia
OYA,Goya,Corrientes Province,Argentina
OYE,Oyem,Woleu-Ntem Province,Gabon
OYG,Moyo,Moyo District,Uganda
OYK,Oiapoque,AmapÃ¡,Brazil
OYL,Moyale,Eastern Province,Kenya
OYN,Ouyen,Victoria,Australia
OYO,Tres Arroyos,Buenos Aires Province,Argentina
OYP,St-Georges de lOyapock,Cayenne,French Guiana
OYS,Yosemite Ntl Park,Not found,Not found
OZA,Ozona Municipal,Texas,United States
OZC,Labo,Misamis Occidental Province,Philippines
OZH,Zaporozhye,Zaporizhia,Ukraine
OZI,Bobadilla,Not found,Not found
OZP,Moron,AndalucÃ_a,Spain
OZR,Cairns AAF,Alabama,United States
OZU,Montilla,Not found,Not found
OZZ,Ouarzazate,Ouarzazate Province,Morocco
PAA,Pa-an,Kayin State,Burma
PAB,Bilaspur,Chhattisgarh,India
PAC,Paitilla,PanamÃ¡ Province,Panama
PAD,Paderborn,North Rhine-Westphalia,Germany
PAE,Snohomish County,Washington,United States
PAF,Pakuba,Masindi District,Uganda
PAG,Pagadian,Zamboanga del Sur Province,Philippines
PAH,Barkley Regional,Kentucky,United States
PAI,Pailin,California,United States
PAJ,Para Chinar,Federally Administered Tribal Areas,Pakistan
PAK,Port Allen,Hawaii,United States
PAL,Palanquero,Buenos Aires Province,Argentina
PAM,Tyndall AFB,Florida,United States
PAN,Pattani,Arizona,United States
PAO,Palo Alto,California,United States
PAP,Mais Gate,Ouest Department,Haiti
PAQ,Municipal,Alaska,United States
PAS,Paros,Cyclades,Greece
PAT,Patna,Bihar,India
PAU,Pauk,Magway Division,Burma
PAV,Paulo Afonso,Bahia,Brazil
PAW,Pambwa,Not found,Not found
PAX,Port De Paix,Nord-Ouest Department,Haiti
PAY,Pamol,Sabah,Malaysia
PAZ,Tajin,Veracruz,Mexico
PBA,Point Barrow,Not found,Not found
PBB,Paranaiba,Mato Grosso do Sul,Brazil
PBC,Huejotsingo,Puebla,Mexico
PBD,Porbandar,Gujarat,India
PBE,Puerto Berrio,AntioquÃ_a Department,Colombia
PBF,Grider Field,Arkansas,United States
PBG,AFB,New York,United States
PBH,Paro,Wisconsin,United States
PBI,International,Florida,United States
PBJ,Paama,Malampa,Vanuatu
PBK,Pack Creek,Not found,Not found
PBL,Puerto Cabello,Carabobo,Venezuela
PBM,Zanderij Intl,Para,Suriname
PBN,Porto Amboim,Cuanza Sul Province,Angola
PBO,Paraburdoo,La Guajira Department,Colombia
PBP,Punta Islita,Guanacaste,Costa Rica
PBQ,Pimenta Bueno,RondÃ´nia,Brazil
PBR,Puerto Barrios,Izabal,Guatemala
PBS,Patong Beach,Not found,Not found
PBT,Puerto Leda,Alto Paraguay Department,Paraguay
PBU,Putao,Kachin State,Burma
PBV,Porto Dos Gauchos,Alaska,United States
PBW,Palibelo,Not found,Not found
PBX,Porto Alegre Do Norte,Kentucky,United States
PBY,Hamilton/Proserpine,Not found,Not found
PBZ,Plettenberg Bay,Western Cape,South Africa
PCA,Portage Creek,Alaska,United States
PCB,Pondok Cabe,Jakarta Raya,Indonesia
PCC,Puerto Rico,CaquetÃ¡ Department,Colombia
PCD,Municipal,Wisconsin,United States
PCE,Painter Creek,Quintana Roo,Mexico
PCG,Paso Caballos,Peten,Guatemala
PCH,Palacios,Baja California Sur,Mexico
PCJ,Puerto La Victoria,Meta Department,Colombia
PCK,Porcupine Creek,Alaska,United States
PCL,Capitan Rolden,Ucayali Region,PerÃº
PCM,Playa Del Carmen,Florida,United States
PCN,Koromiko,Marlborough Region,New Zealand
PCO,Punta Colorada,Baja California Sur,Mexico
PCP,Principe,Principe,SÃ£o TomÃ© and Principe
PCQ,Bounneua,Phongsali Province,Laos
PCR,Puerto Carreno,Vichada Department,Colombia
PCS,Picos,PiauÃ_,Brazil
PCT,Princeton,New Jersey,United States
PCU,Pearl River County,Mississippi,United States
PCV,Punta Chivato,Baja California Sur,Mexico
PDA,Puerto Inirida,GuainÃ_a Department,Colombia
PDB,Pedro Bay,Alaska,United States
PDC,Mueo,Wisconsin,United States
PDD,Ponta de Ouro,Maputo Province,Mozambique
PDE,Pandie Pandie,South Australia,Australia
PDF,Prado,Bahia,Brazil
PDG,Minangkabau International Airport,Sumatra Barat,Indonesia
PDI,Pindiu,Buenos Aires Province,Argentina
PDK,De Kalb/Peachtree,Georgia,United States
PDL,Nordela,Autonomous Region of Azores,Portugal
PDN,Parndana,South Australia,Australia
PDO,Pendopo,Sumatra Selatan,Indonesia
PDP,Capitan Corbeta CA Curbelo International Airport,Chaco Province,Argentina
PDR,Municipal,Casanare Department,Colombia
PDS,Piedras Negras,Coahuila,Mexico
PDT,Pendleton,Oregon,United States
PDU,Paysandu,Paysandu Department,Uruguay
PDV,Plovdiv,Plovdiv Province,Bulgaria
PDX,Portland International,Oregon,United States
PDZ,Pedernales,Delta Amacuro,Venezuela
PEA,Penneshaw,Iowa,United States
PEB,Pebane,Not found,Not found
PEC,Pelican SPB,Alaska,United States
PED,Pardubice,Pardubice Region,Czechia
PEE,Perm,Perm Krai,Russia
PEF,Peenemuende,Mecklenburg-Vorpommern,Germany
PEG,Sant Egidio,Umbria,Italy
PEH,Pehuajo,Buenos Aires Province,Argentina
PEI,Matecana,Risaralda Department,Colombia
PEJ,Peschiei,Not found,Not found
PEK,Capital,Beijing Municipality,China
PEL,Pelaneng,Leribe,Lesotho
